id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
161DnLWsx1i3u1JT05lzqU,0.523,0.606,1,-4.754,0,0.0301,0.512,0,0.106,0.065,145.837
7ljzlDFe7fzmhZaJti85DC,0.513,0.28,1,-7.029,1,0.0279,0.564,3.58e-05,0.101,0.103,120.374
7n9d0xynOgntYrm2srMqz3,0.496,0.272,4,-9.831,0,0.0302,0.977,0.0288,0.278,0.15,103.987
48Uv1IplxtrA3UOp7KolVu,0.533,0.178,6,-9.952,1,0.0335,0.978,1.25e-05,0.0812,0.272,99.895
4CWFtjZQDTFsYNQQt25hmM,0.315,0.24,9,-7.601,0,0.0313,0.953,8.94e-05,0.078,0.187,78.4
3qiy1avMoiZeAddTpn4ChJ,0.447,0.292,9,-8.168,0,0.0338,0.854,0,0.106,0.326,137.576
40hTx1kAjGZefAhgViEcHZ,0.585,0.492,9,-5.104,0,0.0288,0.317,0,0.107,0.171,78.962
4Ybo1Cf2a1LjQPctqZLxE0,0.598,0.596,3,-5.175,1,0.0309,0.633,0,0.131,0.321,130.004
6Rg0gABHzfS3tPif9te46a,0.411,0.564,0,-6.514,0,0.0416,0.555,0,0.149,0.125,66.878
3uUOVQFZ2mnpupmTfrDA3j,0.456,0.436,1,-7.262,1,0.0313,0.588,0,0.158,0.266,115.005
2gSBybVvuphoJHPw0nkHGF,0.48,0.0935,7,-11.735,1,0.0414,0.977,3.04e-05,0.136,0.19,131.1
55vLDRsWmZoUyKgNgF2mZP,0.485,0.34,7,-7.164,0,0.0302,0.559,5.46e-05,0.103,0.0393,132.114
4BNP9HUof4uECvpaR3X8Ad,0.259,0.404,1,-7.356,1,0.0324,0.811,0,0.23,0.322,140.212
1UqFiMCicgqXEYrTIwiYfS,0.395,0.456,0,-10.052,0,0.0742,0.319,6.64e-05,0.126,0.135,124.943
3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473
7LX4aXtvImhdgUHQBlo8Kp,0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113
3GhsBdS9ulPK3KCdwHRPhG,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848
0EUw3ZK8Ti14t6R6FOP8Ty,0.438,0.47,5,-10.94,1,0.0243,0.357,0.821,0.113,0.282,92.653
