id,song,artist,album,popularity,duration,img_url,genres
7GLjPxORWM6FWpMhdvtJrx,Người Lạ Ơi - Masew Remix,Chau Dang Khoa,Người Lạ Ơi !,0,307291,https://i.scdn.co/image/ab67616d0000b2731cddec00a3859be6481e0037,[]
3TXSdTpaqKBpWyUG3aJ3LK,Mượn Rượu Tỏ Tình,BigDaddy,Mượn Rượu Tỏ Tình,2,198375,https://i.scdn.co/image/ab67616d0000b27370c134651375c97ac3807c2e,"['v-pop', 'vietnamese hip hop']"
3b34161QoxLwsqhWSPy9i5,Thanh Xuan,Da LAB,Thanh Xuan,55,220509,https://i.scdn.co/image/ab67616d0000b273d2d4309d7c9997a6e4cf2993,"['indie viet', 'v-pop', 'vietnamese hip hop']"
7KiVghFxUSJjrSQXlb9tdh,Nhắm Mắt Thấy Mùa Hè,Nguyen Ha,Nhắm Mắt Thấy Mùa Hè (Nhạc Phim),50,282857,https://i.scdn.co/image/ab67616d0000b2736cfa1d0d195d09b70b0011d0,"['indie viet', 'v-pop', 'vietnamese singer-songwriter']"
3zzyygDizZyE08d1yT9sXd,Nến Và Hoa,Rhymastic,Nến Và Hoa,0,166000,https://i.scdn.co/image/ab67616d0000b273f006c945dbf798df35177960,"['v-pop', 'vietnamese hip hop']"
5QZxwgUSEvcGgj8z8MfkUN,Phút Ban Đầu,Vũ.,Phút Ban Đầu,0,243200,https://i.scdn.co/image/ab67616d0000b273bb70267336dd9017ea1a6b50,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']"
4a5wfF0SGh3XnDSvihVw79,They Said,Binz,They Said,34,234418,https://i.scdn.co/image/ab67616d0000b273f4ed369e1b1fca800544f29e,"['v-pop', 'vietnamese hip hop']"
6PLNoijWdc3dWqc1KKjv73,Đâu Cần Một Bài Ca Tình Yêu,Tien Tien,Đâu Cần Một Bài Ca Tình Yêu,0,195514,https://i.scdn.co/image/ab67616d0000b27300621802bf211e79145b909c,"['v-pop', 'vietnamese singer-songwriter']"
3EuOQ0v6LxsNFSf3BF5wrw,Mot Nha,Da LAB,Mot Nha,46,185643,https://i.scdn.co/image/ab67616d0000b2739e0fca392f2880a676582925,"['indie viet', 'v-pop', 'vietnamese hip hop']"
0zVEBZoLToUJygyfKg9GDS,Hôm Nay Tôi Buồn,Phùng Khánh Linh,Hôm Nay Tôi Buồn,0,275000,https://i.scdn.co/image/ab67616d0000b273ae209475d727429893392838,['v-pop']
6ksvjB1LSB7splNtvA49xX,Người Âm Phủ,Osad,Người Âm Phủ,0,130558,https://i.scdn.co/image/ab67616d0000b2737928199510c22a75cc476bc3,['v-pop']
6ZB76HLpRe1UcbxEBw4w5M,Yêu Lại Từ Đầu,Khac Viet,Yêu Lại Từ Đầu,0,207072,https://i.scdn.co/image/ab67616d0000b27329e2f5ddd5b2adf5dc2db28d,['v-pop']
72JmsjVP3HeNfi4dzJDZWa,Đông Kiếm Em,Vũ.,Đông Kiếm Em,0,246043,https://i.scdn.co/image/ab67616d0000b273b2b582b3baf742fca189ceb1,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']"
4otPckwHKKGxSsIi97TCAD,Tìm (Lost) [feat. Mr. A],MIN,First Digital Album,40,266000,https://i.scdn.co/image/ab67616d0000b273945543c9fdcd1da1da35fcfe,['v-pop']
3GA7UJ9QgmqDmeSg4yRQhv,Bốn Chữ Lắm,Truc Nhan,Bốn Chữ Lắm,0,257238,https://i.scdn.co/image/ab67616d0000b27335b26940a8930a9bda2bc00f,['v-pop']
6OSWTtSplw9SWv33aDmKWB,Em Dạo Này,Ngọt,Ng'bthg,45,201828,https://i.scdn.co/image/ab67616d0000b2732941e5c1d7222cd392f09c47,"['indie viet', 'rock viet', 'v-pop']"
5Sh5CK6GReVbZJqUOnvg0f,"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",JGKiD (Da LAB),"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",41,229681,https://i.scdn.co/image/ab67616d0000b273f7787dd9d4e06e4961f3bfca,['vietnamese hip hop']
52oyR8Wjhdzg7zucr8keYl,Đường Một Chiều,Huỳnh Tú,Đường Một Chiều,48,286998,https://i.scdn.co/image/ab67616d0000b2732fa897f5a05ce24124a12542,['v-pop']
30FYaYQBKVROiFUpuSdDEM,Ve Thoi,Da LAB,Ve Thoi,32,262827,https://i.scdn.co/image/ab67616d0000b273db95c360eb62be9c4ef1b506,"['indie viet', 'v-pop', 'vietnamese hip hop']"
1OvwmUN6NBbwn1msFw1biQ,Mân Côi,Linh Cáo,Mân Côi,0,253387,https://i.scdn.co/image/ab67616d0000b2736aaab8427d99e6df497538dc,"['v-pop', 'vietnamese hip hop']"
6eFx3CzYrtPKGsV52BR3VQ,Hà Nội Ở Sài Gòn,Trang,Hà Nội Ở Sài Gòn,0,234122,https://i.scdn.co/image/ab67616d0000b2732efd839c3996f4d79cd3bcb0,"['indie viet', 'v-pop', 'vietnamese singer-songwriter']"
6XrAKr1BYRtldlXF5frIBP,Ừ Thì,Mew Amazing,Ừ Thì (original),36,228219,https://i.scdn.co/image/ab67616d0000b273e104c1418e05a84c88c9e399,['v-pop']
1dZV513THyfDUONv351KVI,Nếu Ngày Mai Không Đến,Chillies,Nếu Ngày Mai Không Đến,0,330967,https://i.scdn.co/image/ab67616d0000b2730c56b30c98faeae07cca7fed,"['indie viet', 'v-pop']"
2FAOdl0hE1rDL3odBxQxZ7,Quăng Tao Cái Boong Remix,Masew,Quăng Tao Cái Boong Remix,31,261085,https://i.scdn.co/image/ab67616d0000b2733ac7ec59039deab351bfbf64,['v-pop']
5kRTXjVcdAHNCCbiUtJZTR,Tình Đắng Như Ly Cà Phê,Ngơ,Tình Đắng Như Ly Cà Phê,0,215172,https://i.scdn.co/image/ab67616d0000b27323a0a678d714f2a47a44721f,['vietnamese hip hop']
55x4tHy0m1xgCNn8Svfshj,Chúc Ngủ Ngon,Tam Ka Pkl,Chúc Ngủ Ngon,0,265819,https://i.scdn.co/image/ab67616d0000b2731fed124945721f9854aa8778,['vietnamese hip hop']
